Model,Accuracy,Precision,Recall (Fraud),F1 Score
Logistic Regression,0.9774505292222734,0.08899297423887588,0.926829268292683,0.1623931623931624
LightGBM,0.9993097100782329,0.8222222222222222,0.9024390243902439,0.8604651162790697
XGBoost,0.9994247583985274,0.8780487804878049,0.8780487804878049,0.8780487804878049
Random Forest,0.9994822825586747,0.9444444444444444,0.8292682926829268,0.8831168831168831
Isolation Forest,0.9969512195121951,0.34210526315789475,0.3170731707317073,0.3291139240506329
